                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4205,                0.30071,                0.86023,                0.99639,                      1,                0.99306,                0.94308,                0.34459,                0.21623,                0.79954,             0.00046699,             0.00046699,             0.00046699
                      2,                0.42061,                 0.2996,                0.85371,                0.99311,                      1,                0.99314,                0.93102,                  0.367,                0.23806,                0.80301,             0.00089663,             0.00089663,             0.00089663
                      3,                0.44239,                0.32387,                0.85934,                0.99062,                0.99773,                0.99397,                0.93603,                0.36731,                0.25115,                0.80784,              0.0012791,              0.0012791,              0.0012791
                      4,                 0.4559,                0.33138,                0.87156,                0.99233,                0.99687,                0.99357,                0.92538,                0.38448,                0.26167,                0.81142,              0.0012168,              0.0012168,              0.0012168
                      5,                0.45313,                0.33392,                0.86679,                0.99151,                0.99849,                0.99385,                0.92775,                0.38424,                 0.2593,                0.81524,              0.0011461,              0.0011461,              0.0011461
                      6,                0.44034,                0.32078,                0.86937,                0.99613,                      1,                0.99231,                0.92229,                0.37964,                0.24384,                0.81284,              0.0010753,              0.0010753,              0.0010753
                      7,                0.45454,                0.32051,                0.86885,                0.99449,                      1,                0.99224,                0.92426,                0.36993,                 0.2495,                0.80421,              0.0010046,              0.0010046,              0.0010046
                      8,                0.44967,                0.31209,                0.86632,                0.99616,                      1,                0.99445,                0.93705,                0.36451,                0.23414,                0.80692,             0.00093385,             0.00093385,             0.00093385
                      9,                0.43124,                0.30283,                 0.8647,                0.99611,                 0.9977,                0.99403,                0.93468,                0.36223,                0.23154,                 0.8071,             0.00086312,             0.00086312,             0.00086312
                     10,                0.43562,                0.29655,                0.85704,                0.99656,                      1,                0.99344,                0.93482,                0.35834,                0.22552,                0.80494,             0.00079238,             0.00079238,             0.00079238
                     11,                0.37914,                0.24586,                0.80814,                0.99609,                      1,                0.99388,                0.92822,                0.37508,                0.23575,                 0.8086,             0.00072164,             0.00072164,             0.00072164
                     12,                0.37764,                0.24443,                0.80952,                0.99626,                      1,                0.99205,                 0.9311,                0.36604,                0.23748,                0.81433,             0.00065091,             0.00065091,             0.00065091
                     13,                0.37474,                0.23731,                0.81195,                  0.996,                 0.9995,                 0.9925,                0.93564,                0.35785,                0.23137,                0.80498,             0.00058017,             0.00058017,             0.00058017
                     14,                0.37226,                 0.2385,                0.80827,                0.99446,                0.99865,                0.99406,                0.94139,                0.35032,                0.22084,                0.80457,             0.00050944,             0.00050944,             0.00050944
                     15,                0.36324,                0.22772,                0.81271,                0.99627,                      1,                 0.9937,                  0.943,                 0.3407,                0.21263,                0.80163,              0.0004387,              0.0004387,              0.0004387
                     16,                0.35826,                0.22175,                0.80857,                0.99653,                      1,                0.99284,                0.94546,                0.33971,                0.20677,                0.80088,             0.00036797,             0.00036797,             0.00036797
                     17,                   0.36,                0.21765,                0.80679,                0.99654,                      1,                0.99284,                0.94712,                0.33219,                0.19805,                0.79857,             0.00029723,             0.00029723,             0.00029723
                     18,                 0.3526,                0.21097,                0.80471,                0.99652,                      1,                0.99347,                0.95053,                0.32843,                0.19638,                 0.7959,              0.0002265,              0.0002265,              0.0002265
                     19,                0.35289,                0.20763,                 0.7994,                0.99655,                      1,                0.99386,                0.95174,                0.32628,                 0.1888,                0.79663,             0.00015576,             0.00015576,             0.00015576
                     20,                 0.3462,                0.20381,                0.80445,                0.99658,                      1,                0.99452,                0.95359,                0.32437,                0.18476,                0.79518,             8.5026e-05,             8.5026e-05,             8.5026e-05
