                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4042,                0.27315,                 0.8562,                0.99635,                      1,                0.99294,                0.94805,                0.33648,                0.20042,                0.80003,             0.00046699,             0.00046699,             0.00046699
                      2,                0.40206,                0.27333,                0.85253,                0.99653,                      1,                0.99449,                 0.9367,                0.36494,                0.22145,                0.81113,             0.00089663,             0.00089663,             0.00089663
                      3,                0.42664,                0.29819,                0.85874,                 0.9964,                      1,                0.99209,                0.93757,                0.35542,                0.23019,                0.80771,              0.0012791,              0.0012791,              0.0012791
                      4,                 0.4417,                0.30191,                 0.8695,                0.99498,                      1,                0.99258,                0.92839,                0.37821,                0.23877,                0.81663,              0.0012168,              0.0012168,              0.0012168
                      5,                0.44175,                0.30434,                0.86534,                 0.9963,                      1,                0.99456,                0.93342,                 0.3681,                0.23083,                0.81277,              0.0011461,              0.0011461,              0.0011461
                      6,                0.43104,                0.30047,                0.86548,                0.99453,                0.99978,                0.99249,                0.93195,                0.36469,                0.23565,                0.80586,              0.0010753,              0.0010753,              0.0010753
                      7,                0.43857,                0.29841,                0.86325,                0.99647,                      1,                0.99402,                0.93719,                0.36484,                0.22984,                0.80824,              0.0010046,              0.0010046,              0.0010046
                      8,                0.43388,                0.29073,                0.86384,                0.99445,                      1,                0.99433,                0.94019,                0.35943,                 0.2185,                0.80278,             0.00093385,             0.00093385,             0.00093385
                      9,                0.41638,                0.28311,                0.85922,                0.99624,                      1,                0.99344,                0.93608,                0.35265,                0.22114,                0.80616,             0.00086312,             0.00086312,             0.00086312
                     10,                 0.4245,                 0.2846,                0.85709,                 0.9965,                      1,                0.99215,                0.93751,                0.35206,                0.21448,                0.80712,             0.00079238,             0.00079238,             0.00079238
                     11,                0.36514,                0.23107,                0.80577,                0.99591,                      1,                  0.994,                0.93003,                0.37117,                0.22722,                0.81048,             0.00072164,             0.00072164,             0.00072164
                     12,                 0.3635,                0.22957,                0.80514,                0.99386,                0.99849,                0.99218,                0.93603,                0.35397,                0.22391,                0.80673,             0.00065091,             0.00065091,             0.00065091
                     13,                 0.3593,                0.22549,                0.80517,                0.99565,                0.99896,                0.99311,                0.93619,                0.35627,                0.22105,                0.80021,             0.00058017,             0.00058017,             0.00058017
                     14,                0.36289,                0.22605,                0.80152,                0.99631,                      1,                0.99351,                0.94542,                0.35017,                0.22298,                0.79994,             0.00050944,             0.00050944,             0.00050944
                     15,                0.35392,                0.21634,                 0.8066,                0.99472,                      1,                0.99452,                0.94864,                0.33923,                0.21251,                0.79728,              0.0004387,              0.0004387,              0.0004387
                     16,                0.35263,                0.21372,                0.80519,                0.99648,                      1,                0.99365,                0.94917,                0.33388,                0.19279,                0.79794,             0.00036797,             0.00036797,             0.00036797
                     17,                0.35198,                0.20656,                0.80495,                0.99653,                      1,                0.99393,                 0.9524,                0.32853,                0.18603,                0.79946,             0.00029723,             0.00029723,             0.00029723
                     18,                0.34864,                0.20254,                 0.8061,                0.99662,                      1,                0.99309,                0.95139,                 0.3263,                0.18449,                0.79879,              0.0002265,              0.0002265,              0.0002265
                     19,                0.34699,                0.19807,                0.80093,                0.99658,                      1,                0.99348,                0.95135,                0.32521,                0.18471,                0.79875,             0.00015576,             0.00015576,             0.00015576
                     20,                0.34273,                0.19808,                0.80629,                0.99652,                      1,                 0.9938,                0.95204,                 0.3227,                 0.1782,                0.79839,             8.5026e-05,             8.5026e-05,             8.5026e-05
